name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,119,401888355,,-111.9535204,33.4129777,,,,,
,120,11363317363,,-111.9520934,33.4131648,,,,,
,121,41611252,,-111.9492427,33.4121851,,,,,
,122,41611264,,-111.9560428,33.4121465,,,,,
,123,2341521977,,-111.9447393,33.4131840,,,,,
,124,41611274,,-111.9451702,33.4131851,,,,,
,125,41611275,,-111.9478675,33.4131970,,,,,
,126,7485555999,,-111.9489477,33.4152108,,,,,
,127,41621099,,-111.9511559,33.4151816,,,,,
,128,11360700066,,-111.9522661,33.4154163,,,,,
,129,41621106,,-111.9521866,33.4154161,,,,,
,130,41621104,,-111.9585133,33.4154757,,,,,
,131,316007299,,-111.9389443,33.4152954,,,,,
,132,316870046,,-111.9382922,33.4149218,,,,,
,133,4176960380,,-111.9500188,33.4100731,,,,,
,134,41633706,,-111.9500070,33.4073899,,,,,
,135,41633745,,-111.9499635,33.4210895,,,,,
,136,41633746,,-111.9499628,33.4207495,,,,,
,137,418968763,,-111.9499683,33.4214845,,,,,
,138,5665465776,,-111.9499666,33.4213636,,,,,
,139,41633753,,-111.9499616,33.4186570,,,,,
,140,41633755,,-111.9499863,33.4184423,,,,,
,141,401890588,,-111.9499634,33.4211383,,,,,
,142,401889411,,-111.9499613,33.4188285,,,,,
,143,8386328796,,-111.9499591,33.4190644,,,,,
,144,401889431,,-111.9499600,33.4195913,,,,,
,145,1996973929,,-111.9499600,33.4195629,,,,,
,146,41633751,,-111.9499581,33.4192086,,,,,
,147,8411730328,,-111.9499680,33.4217019,,,,,
,148,11352315597,,-111.9500410,33.4169460,,,,,
,149,41633763,,-111.9500410,33.4168853,,,,,
,150,11349492808,,-111.9499617,33.4199181,,,,,
,151,401889402,,-111.9500425,33.4173268,,,,,
,152,41633749,,-111.9499627,33.4199752,,,,,
,153,41633760,,-111.9500442,33.4176618,,,,,
,154,401889435,,-111.9499630,33.4203645,,,,,
,155,41633758,,-111.9500442,33.4179372,,,,,
,156,11349503874,,-111.9499620,33.4206929,,,,,
,157,401889408,,-111.9500450,33.4180489,,,,,
,158,41633743,,-111.9499701,33.4219094,,,,,
,159,11343862462,,-111.9499681,33.4217872,,,,,
,160,4181519104,,-111.9500362,33.4182582,,,,,
,161,11361101949,,-111.9511887,33.4145222,,,,,
,162,41633775,,-111.9511889,33.4144444,,,,,
,163,7485556008,,-111.9511922,33.4148763,,,,,
,164,41662590,signal,-111.9400858,33.4219347,,,,,
,165,2239876816,,-111.9401037,33.4217850,,,,,
,166,6672805083,,-111.9400799,33.4212624,,,,,
,167,9643219691,,-111.9400696,33.4210103,,,,,
,168,11352315621,,-111.9498797,33.4186566,,,,,
,169,41670741,,-111.9479640,33.4186470,,,,,
,170,11352299726,,-111.9480317,33.4186473,,,,,
,171,401890751,,-111.9465250,33.4194053,,,,,
,172,11343876693,,-111.9472050,33.4194083,,,,,
,173,11343876707,,-111.9458321,33.4194036,,,,,
,174,41670746,,-111.9457704,33.4194034,,,,,
,175,11343876697,,-111.9473390,33.4194087,,,,,
,176,41670750,,-111.9479689,33.4194095,,,,,
,177,11343876703,,-111.9457019,33.4194033,,,,,
,178,41670748,,-111.9472754,33.4194086,,,,,
,179,41520528,,-111.9442460,33.4194019,,,,,
,180,11345033419,,-111.9443070,33.4194020,,,,,
,181,1698683826,signal,-111.9400380,33.4190663,,,,,
,182,2239876796,,-111.9401076,33.4190658,,,,,
,183,8417475900,,-111.9433944,33.4190215,,,,,
,184,4181519117,,-111.9437063,33.4189336,,,,,
,185,11345057884,,-111.9423175,33.4190487,,,,,
,186,863733746,,-111.9406070,33.4190602,,,,,
,187,11347114369,,-111.9411545,33.4190573,,,,,
,188,41533538,,-111.9412354,33.4190569,,,,,
,189,11347114373,,-111.9413068,33.4190564,,,,,
,190,11345057887,,-111.9425048,33.4190473,,,,,
,191,12346625835,,-111.9441711,33.4189180,,,,,
,192,863733736,,-111.9417794,33.4190532,,,,,
,193,863736881,,-111.9418437,33.4190521,,,,,
,194,41520531,,-111.9442453,33.4189174,,,,,
,195,6700916718,,-111.9404880,33.4190608,,,,,
,196,6700916752,,-111.9404610,33.4190613,,,,,
,197,11360354186,,-111.9521090,33.4184464,,,,,
,198,41670759,,-111.9521989,33.4184466,,,,,
,199,11352315622,,-111.9500665,33.4184425,,,,,
,200,11360354179,,-111.9522797,33.4189938,,,,,
,201,317699762,,-111.9564931,33.4190005,,,,,
,202,41670766,,-111.9522017,33.4189937,,,,,
,203,2341521968,,-111.9447312,33.4110216,,,,,
,204,41679543,,-111.9478586,33.4110287,,,,,
,205,317699382,,-111.9439296,33.4110190,,,,,
,206,6896147943,,-111.9404614,33.4136244,,,,,
,207,5770246252,,-111.9412969,33.4136201,,,,,
,208,5770246223,,-111.9421721,33.4136157,,,,,
,209,11350886875,,-111.9424315,33.4136132,,,,,
,210,41662601,,-111.9398928,33.4136273,,,,,
,211,11350883644,,-111.9400407,33.4136265,,,,,
,212,41695219,,-111.9426338,33.4136098,,,,,
,213,41708464,,-111.9219900,33.4128709,,,,,
,214,11759147073,,-111.9219903,33.4128253,,,,,
,215,337827144,,-111.9219894,33.4115989,,,,,
,216,337827148,,-111.9219878,33.4113336,,,,,
,217,5260151502,,-111.9356538,33.4219104,,,,,
,218,2488540193,,-111.9350613,33.4219162,,,,,
,219,8269005072,signal,-111.9349690,33.4219161,,,,,
,220,41714336,signal,-111.9366610,33.4219091,,,,,
,221,2488540196,,-111.9365630,33.4219081,,,,,
,222,5260151499,,-111.9358451,33.4219117,,,,,
,223,5201685464,,-111.9288523,33.4180544,,,,,
,224,316008131,,-111.9289101,33.4173761,,,,,
,225,2300341833,,-111.9292630,33.4167865,,,,,
,226,41654675,,-111.9294120,33.4166399,,,,,
,227,11350883637,,-111.9397607,33.4135045,,,,,
,228,11378730886,,-111.9371376,33.4135297,,,,,
,229,41662602,,-111.9398917,33.4135032,,,,,
,230,41830283,,-111.9370709,33.4135303,,,,,
,231,11378730913,,-111.9350168,33.4135468,,,,,
,232,41830285,,-111.9349328,33.4135475,,,,,
,233,11378730884,,-111.9370103,33.4135308,,,,,
,234,41832343,,-111.9301223,33.4075271,,,,,
,235,11357167214,,-111.9521192,33.4199752,,,,,
